title,blurb,slug,tags,Who is doing,What should it offer?,Notes
Freezing Index,Total annual cumulative degree days below 32°F,freezing-index,Climate,,"Map (historical, mid, late); gimme for MMM, links to CSV",
Elevation,ASTER GDEM elevation data for Alaska and Western Canada,elevation,Terrestrial,,Map; gimme for MMM,
Flammability,Modeled flammability derived from ALFRESCO simulations,alfresco-flammability,"Terrestrial, Wildfire",,"Map (historical, mid, late); gimme for JSON, links to CSV",
Vegetation Type,Modeled vegetation type derived from ALFRESCO simulations,alfresco-vegetation,"Terrestrial, Wildfire",,"Map (historical, mid, late); gimme for JSON, links to CSV",
Combining Permafrost Observations with Climate Data,Code example of how to combine sampled permafrost and modeled historical monthly temperature data,notebook-perm-obs-temp,"Climate, Permafrost, Programming",,https://github.com/ua-snap/ardac-toolbox/blob/main/notebooks/calm.ipynb,
"Daily Precipitation Summary, By Polygon",Demonstration of fetching a polygon of interest and then using this polygon's bounding box to subset Daymet daily precipitation data,notebook-precip-poly,"Precipitation, Programming",,https://github.com/ua-snap/ardac-toolbox/blob/main/notebooks/daymet_access.ipynb,
ERA5 access via the CDS API,Learn to download ERA5 data via Python programming,notebook-era5-cds-api,"Temperature, Programming",,https://github.com/ua-snap/ardac-toolbox/blob/main/notebooks/era5_access.ipynb,
Modeled Flammability by Fire Management Zone,Demonstration of how to query fire management zone polygons and modeled flammability within those polygons,notebook-fmz-flammability,"Terrestrial, Programming",,https://github.com/ua-snap/ardac-toolbox/blob/main/notebooks/fmz_flammability.ipynb,
Heating Degree Days by Alaska Native Corporation,"Demonstration of how to query Alaska Native Corporation polygons, Alaska communities, and modeled heating degree days",notebook-corporation-hdd,"Climate, Programming",,https://github.com/ua-snap/ardac-toolbox/blob/main/notebooks/nc_ddays.ipynb,
Marine Vessel Traffic and Sea Ice Concentration,Learn how to combine Arctic marine vessel traffic with historical sea ice concentration data,notebook-sea-ice-traffic,"Cryosphere, Programming",,https://github.com/ua-snap/ardac-toolbox/blob/main/notebooks/shipping.ipynb,
Fetch data from SNAP's raster database,Learn how to fetch and plot subsets of data from SNAP's raster database,notebook-raster-database,"Climate, Programming",,https://github.com/ua-snap/ardac-toolbox/blob/main/notebooks/snap_rasdaman_access.ipynb,
Design Discharge,Learn how to calculate a design discharge value via the Rational Method,notebook-design-discharge,"Climate, Precipitation, Programming",,https://github.com/ua-snap/ardac-notebooks/blob/main/content/design_discharge/design_discharge.ipynb,
Modified Berggren Frost Depth,Learn how to calculate compute the ModBerg frost depth,notebook-frosth-depth,"Climate, Programming",,https://github.com/ua-snap/ardac-notebooks/blob/main/content/frost_depth/Modified%20Berggren%20Frost%20Depth.ipynb,
Design Freezing Index,Learn how to calculate design freezing index by averaging the three coldest years from a given range of years,notebook-design-freezing-index,"Climate, Programming",,https://github.com/ua-snap/ardac-notebooks/blob/main/content/design_freezing_index/design_freezing_index_module.ipynb,
Design Thawing Index,Learn how to calculate design thawing index by averaging the three warmest years from a given range of years,notebook-design-thawing-index,"Climate, Programming",,https://github.com/ua-snap/ardac-notebooks/blob/main/content/design_thawing_index/design_thawing_index_module.ipynb,
Temperature,Historical and projected temperatures at various temporal and spatial resolutions,temperature-2km-cmip5,Temperature,,"would contain a map showing a view of each of the example flavors of this data: seasonal, monthly, annual ",
"Temperature, CMIP6 all models scenarios","Coarse-resolution temperature model outputs, CMIP6",temperature-cmip6,Temperature,,"this is an example of making a content item more as a ""Callout"" to what is available instead of trying to 1-to-1 each variable/content item: the more important ""umbrella"" content item will have this, but we want to pull this out to emphasize it.",
"Precipitation, 2km ","Annual means, decadal means up to monthly temporal resolution",precipitation-2km-cmip5,Precipitation,,"would contain a map showing a view of each of the example flavors of this data: seasonal, monthly, annual ",
Precipitation Frequency,Precipitation frequency for various return intervals and durations across different models and eras,precipitation-frequency,Precipitation,,"map, interactive widget + gimmies",
Wildfire,"Access to near-real-time, historical, and model output relevant to Alaska wildfires",wildfire-combined,"Wildfire, Terrestrial",,Map showing layers referenced here + gimme (tablular output),
Lightning climatology,Daily number of lightning strikes in 20km grid boxes,lightning-climatology,"Lightning, Terrestrial, Wildfire",,need to ingest this into Rasdaman,
